blockchain,token_pair,pool_address,unique_key,uni_portion,total_volume,uni_volume
ethereum,AUTUMN-WETH,0x54bd274df4ce14eae12974e82b63f7c192fd36de,0x4c3bae16c79c30eeb1004fb03c878d89695e3a99-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,5041.809876357574,5041.809876357574
ethereum,SAND-WETH,0x5b97b125cf8af96834f2d08c8f1291bd47724939,0x3845badade8e6dff049820680d1f14bd3903a5d0-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.999990847199439,1744231.1679667584,1744215.2033667457
ethereum,DIA-WETH,0xb60b34d830f26c5a11c47ddb1e0a1f31d90a78b1,0x84ca8bc7997272c7cfb4d0cd3d55cd942b3c9419-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9999996439027423,916017.632184484,916017.3059931173
ethereum,FLIP-WETH,0x7f7ff8f22a902bb9b0aef07c6cb41d91a47e18e1,0x826180541412d574cf1336d22c0c0a287822678a-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,23371.96251184128,23371.96251184128
ethereum,1INCH-AAVE,0xcb6518667f27e8c652afb47250a2aac4d4872c3a,0x111111111117dc0aa78b770fa6a738034120c302-0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,1,1334911.9242509932,1334911.9242509932
ethereum,KERNEL-USDT,0x1542cd77e7a605cbf140823a9f21fa7ddde44078,0x3f80b1c54ae920be41a77f8b902259d48cf24ccf-0xdac17f958d2ee523a2206206994597c13d831ec7,1,176673.02326292958,176673.02326292958
ethereum,RSR-WETH,0xa3a9a863ed908aa95cb17e1781aa97e6693bf604,0x320623b8e4ff03373931769a31fc52a4e78b5d70-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9627288325513162,12502005.955844386,12036041.598419668
ethereum,APU-WETH,0x120ffad35bb97a5baf9ab68f9dd7667864530245,0x594daad7d77592a2b97b725a7ad59d7e188b5bfa-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,16511597.597571451,16511597.597571451
ethereum,WETH-ZRX,0x14424eeecbff345b38187d0b8b749e56faa68539,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xe41d2489571d322189246dafa5ebde1f4699f498,0.9949014180053516,738458.5195667173,734693.4282550598
ethereum,CMTDE_V2-WETH,0x58bde703da73419f6f3053b5dfffc2ccd86e1b5f,0x986d434ed3e131a6f694027c35da8469840f9a49-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,5477.829420669961,5477.829420669961
ethereum,SOPH-WETH,0xb98740764d84ff6a56abf2d64803165f37759ac7,0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,516681.7538886712,516681.7538886712
ethereum,AMKT-WETH,0xbda5cfc64fdf65a45dd1f054ce41b6473c443ec2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xf17a3fe536f8f7847f1385ec1bc967b2ca9cae8d,1,4428.672753501852,4428.672753501852
ethereum,DAI-LQTY,0x72d3443605ef16e35de1bf0a28ed4d9d5ff8436d,0x6b175474e89094c44da98b954eedeac495271d0f-0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,1,61541.2529797681,61541.2529797681
ethereum,fpMIL-WETH,0x57693fbdbc3101d6fb793c2e4beb4d39ac7d89ac,0x00000000ac69b40134e31f02fb411703f51e7f43-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,98198.50664791242,98198.50664791242
ethereum,GME-WETH,0x05391bd57d8c6fb30d9c39f6618f2207893922dc,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xc56c7a0eaa804f854b536a5f3d5f49d2ec4b12b8,0.9999998146135255,6022991.626586637,6022990.510005454
ethereum,Pigger-WETH,0xe191a42199ec813eab6352f1a1e09c70993a38ee,0x6996383b3ddbeb525cf6547e7ec2d9fa191d85ef-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,91761.82083943798,91761.82083943798
ethereum,MAGA-WETH,0x961ec3bb28c9e98a040c4bded38917aa96b791be,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xd29da236dd4aac627346e1bba06a619e8c22d7c5,1,38535371.7817032,38535371.7817032
ethereum,EURA-USDC,0x7ed3f364668cd2b9449a8660974a26a092c64849,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.999999622587205,528867.8825469196,528867.6829454139
ethereum,CNFI-WETH,0x79464b7809be3f476f5846c7a772ade345572afa,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2-0xeabb8996ea1662cad2f7fb715127852cd3262ae9,1,12097.286854145395,12097.286854145395
ethereum,DAI-TFT,0x7426b3b30da7574be8d895f6258eb6b198e63c3d,0x395e925834996e558bdec77cd648435d620afb5b-0x6b175474e89094c44da98b954eedeac495271d0f,1,21693.68415015456,21693.68415015456
ethereum,FLUX-WETH,0x07aa6584385cca15c2c6e13a5599ffc2d177e33b,0x469eda64aed3a3ad6f868c44564291aa415cb1d9-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.8531383865487328,61595.769154502326,52549.71511470032
ethereum,GREEN-WETH,0xe77fa8a57aa5cbf1d60778866d5bc164ab913c1c,0xb2089a7069861c8d90c8da3aacab8e9188c0c531-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9999847472771888,217537.75177198424,217534.43372895548
ethereum,Geno -WETH,0xfde90a4cfc33834fd77061f037e4fb5e828cfae7,0xa797a0b99b887eba09552334d4d58d7246220c30-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,64533.336405173075,64533.336405173075
ethereum,BEARDY-WETH,0xbd35130bd84a3f016d1b6af257e0e0544887a42a,0x32c6f1c1731ff8f98ee2ede8954f696446307846-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9999089120826689,20476.428903145912,20474.563747882745
ethereum,WETH-XION,0x8e1148fe20cf87f7686395bbe6a0c50945cc5001,0x24d7ad9402717f429a81925fe7643b78918eda8b-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,621761.9854976104,621761.9854976104
